,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Price
15,Maruti Ciaz 1.4 Alpha,2017,Petrol,42000,1373,First ,Manual,20.73,91.1,130.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,14.0,810000
16,Nissan Teana Teana,2009,Petrol,51023,2496,Third ,Automatic,9.1,0.0,5.0,5,Silver,5,FWD,Power,Discs,Disc & Drum,19.0,400000
17,Maruti Wagon R LXI,2012,Petrol,75863,998,First ,Manual,21.79,67.05,90.0,5,White,5,FWD,Power,Discs,Drum,18.6,280000
18,Nissan Teana Teana,2009,Petrol,51023,2496,Third ,Automatic,9.1,0.0,5.0,5,White,5,FWD,Power,Discs,Disc & Drum,19.0,400000
19,Maruti Wagon R LXI,2012,Petrol,75863,998,First ,Manual,21.79,67.05,90.0,5,Silver,6,FWD,Power,Discs,Drum,18.6,280000
20,Maruti Ciaz 1.3 Zeta,2018,Diesel,54000,1248,First ,Manual,28.09,88.5,200.0,5,White,5,FWD,Power,Ventilated Disc,Drum,15.0,775000
21,Honda City i DTEC,2015,Diesel,65000,1498,Second ,Manual,26.0,98.6,200.0,5,White,5,FWD,Power,Discs,Drum,10.0,550000
22,Maruti Swift Dzire LDI,2018,Diesel,75000,1248,First ,Manual,28.4,74.02,190.0,5,White,6,FWD,Power,Discs,Drum,13.03,475000
23,Mercedes-Benz E-Class E250 CDI,2011,Diesel,87000,2143,Second ,Automatic,14.21,203.0,500.0,5,Grey,6,RWD,Power,Ventilated Disc,Discs,7.5,1250000
24,Toyota Corolla Altis D-4D,2012,Diesel,101000,1364,First ,Manual,21.43,87.2,205.0,5,White,8,FWD,Power,Ventilated Disc,Discs,11.8,525000
25,Toyota Innova Crysta 2016-2020,2019,Diesel,68000,2755,First ,Automatic,11.36,171.5,360.0,7,Black,6,RWD,Power,Discs,Drum,19.0,2200000
26,Audi Q7 2006-2020 3.0,2014,Diesel,70000,2967,First ,Automatic,12.07,241.4,550.0,7,Golden,5,AWD,Power,Ventilated Disc,Discs,7.8,2300000
27,Volkswagen Polo GT 1.0,2021,Petrol,8000,999,First ,Automatic,16.47,108.62,175.0,5,White,6,FWD,Electric,Discs,Drum,19.0,975000
28,Maruti Baleno Delta Diesel,2017,Diesel,65000,1248,First ,Manual,27.39,74.0,190.0,5,White,6,FWD,Power,Discs,Drum,12.93,575000
29,Hyundai Verna CRDi 1.6,2018,Diesel,50256,1582,First ,Manual,22.0,126.2,259.87,5,Red,5,FWD,Power,Discs,Drum,19.0,1025000
30,Hyundai i20 2015-2017 Magna,2017,Diesel,45000,1396,First ,Manual,22.54,88.73,219.7,5,Blue,5,FWD,Power,Discs,Drum,11.9,650000
31,Maruti Alto LXi,2012,Petrol,80000,796,First ,Manual,19.7,46.3,62.0,5,Black,7,FWD,Power,Discs,Drum,17.7,190000
32,Maruti Vitara Brezza ZDi,2018,Diesel,43556,1248,First ,Manual,24.3,88.5,200.0,5,White,5,FWD,Power,Ventilated Disc,Drum,12.36,825000
33,Audi Q3 2.0 TDI,2015,Diesel,110000,1968,Third ,Automatic,17.32,184.0,380.0,5,White,5,AWD,Power,Discs,Discs,9.9,1350000
34,Maruti Wagon R LXI,2006,Petrol,80000,998,Second ,Manual,18.9,67.1,90.0,5,Silver,8,FWD,Power,Ventilated Disc,Drum,19.0,125000
35,Maruti Wagon R LXI,2015,Petrol,89000,998,First ,Manual,21.79,67.05,90.0,5,Black,5,FWD,Power,Discs,Drum,18.6,315000
36,BMW 3 Series 320d,2017,Diesel,68000,1995,First ,Automatic,22.69,190.0,400.0,5,Silver,5,RWD,Power,Discs,Discs,7.2,2591000
37,Hyundai i10 D-lite,2011,Petrol,120000,1086,Second ,Manual,19.81,68.1,99.1,5,White,5,FWD,Manual,Ventilated Disc,Drum,19.0,150000
38,Maruti Wagon R LXI,2011,Petrol,27000,998,First ,Manual,20.51,67.04,90.0,5,White,6,FWD,Power,Ventilated Disc,Drum,18.6,275000
39,Toyota Innova 2.5 VX,2012,Diesel,80000,2494,Second ,Manual,12.99,100.6,200.0,7,White,5,RWD,Power,Ventilated Disc,Drum,13.3,595000
40,Tata Harrier XT plus,2020,Diesel,11000,1956,First ,Manual,17.0,167.63,350.0,5,White,5,FWD,Power,Discs,Drum,19.0,1800000
41,Volkswagen Vento Diesel Comfortline,2012,Diesel,80000,1598,First ,Manual,20.54,103.6,250.0,5,Silver,5,FWD,Power,Discs,Drum,19.0,375000
42,Ford EcoSport 1.0 Ecoboost,2014,Petrol,52000,999,Second ,Manual,18.88,123.37,170.0,5,White,5,FWD,Power,Ventilated Disc,Drum,11.0,525000
43,Hyundai Grand i10 Nios,2020,Petrol,9000,1197,First ,Manual,20.7,81.86,113.75,5,White,5,FWD,Electric,Discs,Drum,19.0,690000
44,Hyundai Santro Sportz,2019,Petrol,16234,1086,First ,Manual,20.3,68.05,99.04,5,White,5,FWD,Electric,Discs,Drum,19.0,475000
45,Toyota Etios Liva GD,2012,Diesel,56000,1364,First ,Manual,23.59,0.0,5.0,5,Blue,5,FWD,Power,Discs,Disc & Drum,19.0,325000
46,Honda Amaze VX i-Vtech,2014,Petrol,36000,1198,First ,Manual,18.0,86.7,109.0,5,White,5,FWD,Power,Discs,Drum,15.0,525000
47,Ford Figo Diesel EXI,2011,Diesel,97000,1399,Second ,Manual,18.5,68.0,160.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,14.8,161000
48,Honda Jazz V CVT,2017,Petrol,20000,1199,First ,Automatic,18.2,88.7,110.0,5,White,5,FWD,Power,Discs,Drum,13.7,690000
49,Renault KWID 1.0 RXT,2020,Petrol,7000,999,First ,Manual,21.74,67.0,91.0,5,White,5,FWD,Electric,Discs,Drum,19.0,425000
50,Mahindra Scorpio S10 7,2016,Diesel,61000,2179,First ,Manual,15.4,120.0,280.0,7,Red,5,RWD,Power,Discs,Drum,19.0,1050000
51,Hyundai i20 Sportz Plus,2019,Petrol,14000,1197,First ,Manual,18.6,81.86,117.0,5,White,5,FWD,Power,Discs,Drum,13.2,790000
52,Hyundai Grand i10 Sportz,2015,Petrol,62429,1197,First ,Manual,18.9,81.86,113.75,5,Silver,5,FWD,Power,Discs,Drum,12.9,450000
53,Toyota Innova 2.5 G4,2011,Diesel,59000,2494,Second ,Manual,12.8,102.0,20.4,8,White,6,FWD,Power,Ventilated Disc,Drum,17.5,475000
54,Maruti Alto K10 VXI,2014,Petrol,65000,998,First ,Manual,23.95,67.05,90.0,5,Grey,6,FWD,Power,Ventilated Disc,Drum,13.3,265000
55,Toyota Innova 2.5 VX,2016,Diesel,96298,2494,Second ,Manual,12.99,100.6,200.0,7,Red,5,RWD,Power,Ventilated Disc,Drum,13.3,925000
56,Chevrolet Cruze LTZ AT,2011,Diesel,74000,1991,Second ,Automatic,18.1,147.9,327.0,4,White,5,FWD,Power,Discs,Discs,19.0,390000
57,Maruti SX4 S Cross,2015,Diesel,60428,1598,First ,Manual,22.7,118.0,320.0,5,White,5,FWD,Power,Ventilated Disc,Discs,12.0,600000
58,Maruti Ritz VXI,2014,Petrol,58632,1197,First ,Manual,21.1,85.8,114.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.2,340000
59,Chevrolet Enjoy TCDi LS,2013,Diesel,85632,1248,First ,Manual,18.2,73.8,172.5,7,White,6,FWD,Power,Discs,Drum,19.0,351000
60,Maruti Alto K10 LXI,2011,Petrol,70563,998,First ,Manual,23.95,67.05,90.0,5,White,5,FWD,Power,Ventilated Disc,Drum,13.3,190000
61,Honda Amaze S i-Dtech,2014,Diesel,75632,1498,Second ,Manual,25.8,98.6,200.0,5,White,5,FWD,Power,Discs,Drum,17.0,421000
62,Hyundai Creta 1.6 CRDi,2015,Diesel,75000,1582,Second ,Manual,19.67,126.2,259.9,5,Grey,5,FWD,Power,Discs,Drum,10.5,775000
63,Toyota Innova 2.5 GX,2012,Diesel,95000,2494,First ,Manual,12.8,102.0,20.4,8,Silver,5,FWD,Power,Ventilated Disc,Drum,17.5,600000
64,Hyundai EON Era Plus,2018,Petrol,52200,814,First ,Manual,21.1,55.2,74.5,5,White,7,FWD,Power,Discs,Drum,19.0,325000
65,Volkswagen Vento Diesel Trendline,2012,Diesel,63940,1598,Second ,Manual,20.54,103.6,250.0,5,Grey,4,FWD,Power,Discs,Drum,19.0,351000
66,Toyota Innova 2.5 G4,2009,Diesel,76000,2494,Third ,Manual,12.8,102.0,20.4,8,White,5,FWD,Power,Ventilated Disc,Drum,17.5,400000
67,Volkswagen Tiguan 2.0 TDI,2017,Diesel,101000,1968,First ,Automatic,16.65,141.0,340.0,5,Silver,5,AWD,Electric,Discs,Discs,19.0,2150000
68,Hyundai Verna 1.6 SX,2013,Diesel,76000,1582,Second ,Automatic,22.32,126.32,259.8,5,White,5,FWD,Power,Discs,Discs,10.62,451000
69,Toyota Fortuner 4x2 AT,2013,Diesel,127000,2982,Second ,Automatic,12.55,168.5,360.0,7,White,6,FWD,Power,Ventilated Disc,Drum,9.6,1450000
70,Honda Jazz ZX,2021,Petrol,6000,1199,First ,Manual,16.6,88.5,110.0,5,White,6,FWD,Electric,Discs,Drum,19.0,825000
71,Volkswagen Ameo 1.0 MPI,2019,Petrol,24000,999,First ,Manual,19.44,75.0,95.0,5,White,6,FWD,Power,Discs,Drum,19.0,690000
72,Hyundai Verna CRDi 1.6,2018,Diesel,50000,1582,First ,Automatic,22.0,126.2,259.87,5,White,6,FWD,Power,Discs,Drum,19.0,990000
73,Ford Endeavour 3.2 Titanium,2016,Diesel,63000,3198,First ,Automatic,10.91,197.0,470.0,7,Red,5,AWD,Power,Discs,Discs,10.86,2100000
74,Hyundai i20 Active 1.4,2015,Diesel,79000,1396,First ,Manual,21.19,88.73,220.0,5,White,5,FWD,Power,Discs,Drum,15.0,575000
75,Mahindra XUV500 W6,2015,Diesel,81000,2179,First ,Manual,16.0,140.0,330.0,7,Maroon,5,FWD,Power,Discs,Discs,10.0,850000
76,Honda City i VTEC,2016,Petrol,48000,1497,First ,Manual,17.8,117.3,145.0,5,White,5,FWD,Power,Discs,Drum,10.0,790000
77,Hyundai EON Magna Plus,2016,Petrol,43001,814,First ,Manual,21.1,55.2,74.5,5,White,6,FWD,Power,Discs,Drum,19.0,325000
78,Renault KWID RXT,2016,Petrol,28000,799,First ,Manual,22.3,53.26,72.0,5,White,5,FWD,Electric,Discs,Drum,16.0,370000
79,Hyundai EON Magna Plus,2016,Petrol,43001,814,First ,Manual,21.1,55.2,74.5,5,Silver,6,FWD,Power,Discs,Drum,19.0,325000
80,Hyundai Creta 1.6 SX,2018,Diesel,81800,1582,First ,Automatic,17.6,126.2,259.87,5,Grey,5,FWD,Power,Discs,Drum,19.0,1275000
81,Hyundai i10 Sportz Option,2011,Petrol,55000,1197,First ,Manual,20.36,78.9,111.8,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,285000
82,Hyundai Elantra 1.6 SX,2015,Diesel,73398,1582,First ,Manual,22.54,126.2,259.88,5,Grey,6,FWD,Power,Discs,Discs,19.0,675000
83,Renault Duster 85PS Diesel,2013,Diesel,83000,1461,First ,Manual,20.46,83.8,200.0,5,White,6,FWD,Power,Ventilated Disc,Drum,19.0,425000
84,Honda City i VTEC,2015,Petrol,81000,1497,First ,Manual,17.4,117.3,145.0,5,Grey,8,FWD,Power,Discs,Drum,10.0,740000
85,Hyundai Creta 1.6 CRDi,2018,Diesel,76190,1582,First ,Manual,19.67,126.2,259.9,5,Silver,6,FWD,Power,Discs,Drum,10.5,1050000
86,Ford Endeavour 3.2 Trend,2017,Diesel,135000,3198,First ,Automatic,10.91,197.2,470.0,7,Brown,5,AWD,Power,Discs,Discs,19.0,2150000
87,Maruti Baleno Zeta CVT,2017,Petrol,67000,1197,First ,Automatic,19.56,81.8,113.0,5,White,4,FWD,Electric,Discs,Drum,12.79,690000
88,Ford Endeavour 3.2 Titanium,2018,Diesel,54000,3198,First ,Automatic,10.91,197.0,470.0,7,White,5,AWD,Power,Discs,Discs,10.86,2490000
89,Mahindra Bolero 2011-2019 DI,2014,Diesel,120000,2523,First ,Manual,15.96,63.0,180.0,9,Silver,6,2WD,Manual,Discs,Drum,30.3,500000
90,Hyundai Verna 1.6 CRDi,2014,Diesel,65000,1582,First ,Manual,22.32,126.3,259.9,5,Blue,6,FWD,Power,Discs,Discs,19.0,475000
91,Tata Tiago 1.2 Revotron,2019,Petrol,4000,1199,First ,Manual,23.84,84.0,114.0,5,Silver,5,FWD,Power,Discs,Drum,14.3,487000
92,MG Hector Sharp DCT,2020,Petrol,12000,1451,Second ,Automatic,13.96,141.0,250.0,5,White,5,FWD,Power,Discs,Discs,19.0,1575000
93,Mahindra Scorpio S11 BSIV,2019,Diesel,51000,2179,First ,Manual,16.36,140.0,320.0,7,Red,5,RWD,Power,Ventilated Disc,Drum,19.0,1648999
94,Maruti Swift VDI BSIV,2014,Diesel,65000,1248,First ,Manual,25.2,74.0,190.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.8,490000
95,Hyundai i20 Asta Opt,2021,Petrol,10000,1197,First ,Manual,21.0,81.86,114.74,5,Red,6,FWD,Electric,Discs,Drum,19.0,975000
96,Hyundai i20 Sportz DT,2021,Petrol,10000,1197,First ,Manual,21.0,81.86,114.74,5,Silver,5,FWD,Electric,Discs,Drum,19.0,825000
97,Toyota Innova 2.5 GX,2016,Diesel,75000,2494,First ,Manual,12.99,100.6,200.0,8,White,5,RWD,Power,Ventilated Disc,Drum,13.3,875000
98,Tata Nexon 1.5 Revotorq,2018,Diesel,60000,1497,First ,Manual,21.5,108.5,260.0,5,White,5,FWD,Power,Discs,Drum,13.25,775000
99,Hyundai i20 1.2 Sportz,2010,Petrol,57000,1197,First ,Manual,17.0,80.0,11.4,5,White,5,FWD,Power,Discs,Drum,12.96,300000
100,Maruti Wagon R VXI,2015,Petrol,47900,998,First ,Manual,21.79,67.05,90.0,5,White,4,FWD,Power,Discs,Drum,18.6,370000
101,Mahindra Xylo E8,2010,Diesel,70000,2498,Second ,Manual,14.0,112.0,260.0,8,White,6,2WD,Power,Ventilated Disc,Drum,19.0,229999
102,Hyundai Verna 1.6 VTVT,2016,Petrol,80456,1591,First ,Manual,17.01,121.3,154.9,5,Black,5,FWD,Power,Discs,Drum,10.5,691000
103,Hyundai Verna SX CRDi,2014,Diesel,65314,1582,First ,Automatic,19.08,126.32,259.8,5,White,5,FWD,Power,Discs,Discs,10.62,575000
104,Hyundai i20 2015-2017 Magna,2017,Diesel,52000,1396,First ,Manual,22.54,88.73,219.7,5,Red,7,FWD,Power,Discs,Drum,11.9,575000
105,Maruti Ertiga SHVS VDI,2017,Diesel,65000,1248,Second ,Manual,24.52,88.5,200.0,7,White,5,FWD,Power,Ventilated Disc,Drum,13.3,750000
106,Maruti Ertiga SHVS VDI,2016,Diesel,68000,1248,First ,Manual,24.52,88.5,200.0,7,White,5,FWD,Power,Ventilated Disc,Drum,13.3,691000
107,Mercedes-Benz E-Class E250 CDI,2014,Diesel,31000,2143,First ,Automatic,13.0,201.1,500.0,5,White,5,RWD,Power,Discs,Discs,7.5,2150000
108,Toyota Innova Crysta 2.4,2020,Diesel,43000,2393,First ,Manual,12.0,148.0,343.0,8,Grey,5,RWD,Power,Discs,Drum,19.0,1850000
109,Maruti Ciaz VDi Option,2015,Diesel,65324,1248,First ,Manual,28.09,88.5,200.0,5,White,5,FWD,Power,Ventilated Disc,Drum,15.0,525000
110,Toyota Innova 2.5 EV,2010,Diesel,308000,2494,Second ,Manual,12.8,102.0,20.4,8,White,6,FWD,Manual,Ventilated Disc,Drum,17.55,600000
111,Ford EcoSport 1.5 TDCi,2015,Diesel,74000,1498,First ,Manual,22.77,98.59,205.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,13.5,575000
112,Tata Tiago 1.2 Revotron,2018,Petrol,31000,1199,First ,Automatic,23.84,84.0,114.0,5,Grey,6,FWD,Power,Discs,Drum,16.31,575000
113,Honda City i DTEC,2015,Diesel,68000,1498,First ,Manual,26.0,98.6,200.0,5,White,5,FWD,Power,Discs,Drum,10.0,585000
114,Maruti Ciaz VXi Plus,2016,Petrol,81000,1373,First ,Manual,20.73,91.1,130.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,14.0,675000
115,Toyota Innova Crysta 2016-2020,2017,Diesel,73000,2755,Second ,Automatic,11.36,171.5,360.0,8,Silver,5,RWD,Power,Discs,Drum,19.0,1425000
116,Hyundai Grand i10 Sportz,2016,Petrol,51000,1197,First ,Manual,18.9,82.0,114.0,5,Grey,5,FWD,Power,Discs,Drum,12.9,490000
117,Honda Brio 1.2 S,2018,Petrol,68000,1198,First ,Manual,18.5,86.8,109.0,5,Brown,5,FWD,Power,Discs,Drum,14.5,475000
118,Hyundai Grand i10 Sportz,2016,Petrol,51000,1197,First ,Manual,18.9,82.0,114.0,5,White,5,FWD,Power,Discs,Drum,12.9,490000
119,Honda Brio 1.2 S,2018,Petrol,68000,1198,First ,Manual,18.5,86.8,109.0,5,White,6,FWD,Power,Discs,Drum,14.5,475000
120,Toyota Fortuner 4x2 AT,2013,Diesel,193000,2982,Second ,Automatic,12.55,168.5,360.0,7,Red,6,FWD,Power,Ventilated Disc,Drum,9.6,1450000
121,Datsun RediGO AMT 1.0,2020,Petrol,3000,999,First ,Automatic,22.5,67.0,91.0,5,White,6,2WD,Power,Discs,Drum,19.0,465000
122,Hyundai Sonata 2.4 GDi,2012,Petrol,74000,2359,Second ,Manual,13.44,198.25,250.0,5,Red,5,FWD,Power,Ventilated Disc,Discs,9.43,650000
123,Toyota Innova Crysta 2016-2020,2019,Diesel,65000,2755,First ,Automatic,11.36,171.5,360.0,8,Blue,5,RWD,Power,Discs,Drum,19.0,1751000
124,Toyota Corolla Altis G,2014,Petrol,62325,1798,First ,Manual,14.53,138.1,173.0,5,White,5,FWD,Power,Ventilated Disc,Discs,10.42,775000
125,Volkswagen Ameo 1.5 TDI,2016,Diesel,82536,1498,First ,Manual,21.66,108.62,250.0,5,White,8,FWD,Power,Ventilated Disc,Drum,11.64,424000
126,Hyundai i20 1.2 Magna,2011,Petrol,62354,1197,Second ,Manual,18.5,80.0,11.4,5,White,5,FWD,Power,Discs,Drum,19.0,289000
127,Volkswagen Vento Diesel Comfortline,2013,Diesel,58632,1598,First ,Manual,20.54,103.6,250.0,5,Silver,5,FWD,Power,Discs,Drum,19.0,422000
128,Honda Amaze 2016-2021 VX,2017,Petrol,67000,1199,First ,Automatic,18.3,88.76,110.0,5,Silver,5,FWD,Electric,Discs,Drum,15.0,650000
129,Toyota Platinum Etios 1.4,2018,Diesel,55000,1364,First ,Manual,23.59,67.05,170.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,13.9,600000
130,Nissan Sunny XV,2013,Petrol,60000,1498,First ,Manual,16.95,97.7,134.0,5,Silver,6,FWD,Power,Ventilated Disc,Drum,19.0,425000
131,Nissan Terrano XL 85,2016,Diesel,65000,1461,First ,Manual,20.45,83.8,200.0,5,White,6,FWD,Power,Discs,Drum,14.0,625000
132,Renault Duster 85PS Diesel,2016,Diesel,55000,1461,First ,Manual,19.87,83.8,200.0,5,White,5,FWD,Power,Discs,Drum,13.9,625000
133,Mahindra Thar LX 4-Str,2020,Diesel,10000,2184,First ,Manual,15.2,130.0,300.0,4,Grey,4,AWD,Power,Discs,Drum,19.0,1490000
134,Hyundai Creta 1.6 S,2018,Diesel,60000,1582,First ,Automatic,17.6,126.2,259.87,5,White,5,FWD,Power,Discs,Drum,19.0,1190000
135,Maruti Wagon R LXI,2013,Petrol,46370,998,First ,Manual,20.51,67.04,90.0,5,Black,6,FWD,Power,Ventilated Disc,Drum,18.6,280000
136,Hyundai Verna 1.6 CRDI,2013,Diesel,65243,1582,First ,Manual,22.32,126.3,259.9,5,Black,5,FWD,Power,Discs,Discs,19.0,438999
137,Hyundai Xcent 1.2 CRDi,2017,Diesel,65342,1186,First ,Manual,25.4,73.97,190.25,5,White,6,FWD,Power,Discs,Drum,19.0,465000
138,Skoda Octavia 2.0 TDI,2017,Diesel,65000,1968,First ,Automatic,19.5,141.0,320.0,5,Brown,5,FWD,Power,Discs,Discs,9.35,1350000
139,Mahindra Scorpio LX BSIV,2012,Diesel,75000,2179,First ,Manual,12.05,120.0,290.0,9,White,5,FWD,Power,Discs,Drum,19.0,451000
140,Honda City i DTEC,2014,Diesel,62000,1498,First ,Manual,25.1,98.6,200.0,5,Silver,6,FWD,Power,Discs,Drum,10.0,590000
141,Maruti Ciaz 1.4 Alpha,2020,Petrol,14000,1373,First ,Manual,20.73,91.1,130.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.0,1000000
142,Nissan Micra Active XV,2014,Petrol,48000,1198,First ,Manual,19.49,67.04,104.0,5,White,5,FWD,Power,Ventilated Disc,Drum,15.0,311000
143,Mahindra XUV500 W10 2WD,2015,Diesel,90000,2179,Second ,Manual,16.0,140.0,330.0,7,White,7,FWD,Power,Discs,Discs,10.0,825000
144,Hyundai i10 Magna 1.1L,2015,Petrol,68000,1086,First ,Manual,19.81,68.05,99.04,5,Brown,5,FWD,Power,Ventilated Disc,Drum,14.3,375000
145,Hyundai i10 Era,2013,Petrol,62000,1086,First ,Manual,19.81,68.05,99.04,5,White,4,FWD,Power,Ventilated Disc,Drum,14.3,275000
146,Volkswagen Vento 1.5 TDI,2017,Diesel,65000,1498,First ,Automatic,22.15,108.6,250.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,11.07,875000
147,Mahindra Ssangyong Rexton RX7,2013,Diesel,100000,2696,Second ,Automatic,11.18,184.0,402.0,7,White,5,AWD,Power,Ventilated Disc,Discs,13.5,800000
148,Hyundai Verna SX CRDi,2014,Diesel,50000,1582,Second ,Automatic,19.08,126.32,259.8,5,White,5,FWD,Power,Discs,Discs,10.62,530000
149,Renault Duster 85PS Diesel,2014,Diesel,65000,1461,First ,Manual,19.87,83.8,200.0,5,White,5,FWD,Power,Ventilated Disc,Drum,13.9,425000
150,Maruti Alto LXi,2010,Petrol,46000,796,First ,Manual,19.7,46.3,62.0,5,White,5,FWD,Power,Discs,Drum,17.7,210000
151,Honda New Accord 2008-2011,2008,Petrol,85632,2354,Second ,Manual,12.8,177.6,222.0,5,White,5,FWD,Power,Multilateral Disc,Discs,19.0,300000
152,Maruti Wagon R LXI,2010,LPG,59024,998,First ,Manual,14.4,61.7,85.0,5,White,5,FWD,Power,Ventilated Disc,Drum,19.0,200000
153,Hyundai i20 Sportz 1.2,2014,Petrol,70000,1197,Second ,Manual,18.6,81.83,114.7,5,White,5,FWD,Power,Discs,Drum,13.2,500000
154,Ford Figo Diesel EXI,2014,Diesel,58000,1399,First ,Manual,20.0,68.0,160.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.8,295000
155,Maruti Swift Dzire LDi,2012,Diesel,100000,1248,Second ,Manual,19.3,73.9,190.0,5,Silver,6,2WD,Power,Ventilated Disc,Drum,19.0,290000
156,Skoda Rapid 1.6 TDI,2013,Diesel,62000,1598,First ,Manual,20.5,103.5,250.0,5,Silver,7,FWD,Power,Discs,Drum,19.0,425000
157,Maruti Vitara Brezza LDi,2017,Diesel,45000,1248,First ,Manual,24.3,88.5,200.0,5,White,6,FWD,Power,Ventilated Disc,Drum,12.36,651000
158,Land Rover Range Rover,2012,Diesel,85493,2993,First ,Automatic,14.7,241.6,600.0,5,White,5,AWD,Power,Ventilated Disc,Discs,9.2,3200000
159,Toyota Etios GD,2012,Diesel,63000,1364,First ,Manual,23.59,0.0,5.0,5,Silver,5,FWD,Power,Discs,Disc & Drum,19.0,345000
160,Audi Q5 2018-2020 35TDI,2018,Diesel,67468,1968,First ,Automatic,17.01,188.0,400.0,5,White,5,AWD,Power,Ventilated Disc,Discs,8.37,4000000
161,MG Hector Sharp AT,2019,Petrol,23000,1451,First ,Automatic,13.96,141.0,250.0,5,Black,5,FWD,Power,Discs,Discs,19.0,1575000
162,Maruti Wagon R VXI,2013,Petrol,65000,998,First ,Manual,20.51,67.04,90.0,5,White,5,FWD,Power,Ventilated Disc,Drum,18.6,300000
163,Maruti Alto 800 LXI,2012,Petrol,28000,796,First ,Manual,22.74,47.3,69.0,5,White,5,FWD,Power,Solid Disc,Drum,19.0,245000
164,Volkswagen Polo 1.5 TDI,2017,Diesel,48000,1498,First ,Manual,20.14,88.0,230.0,5,Blue,5,FWD,Power,Discs,Drum,16.1,550000
165,Chevrolet Cruze LTZ,2011,Diesel,56000,1991,Third ,Manual,18.3,147.9,327.0,5,Black,6,FWD,Power,Discs,Discs,19.0,350000
166,Nissan Micra Diesel XV,2013,Diesel,52150,1461,First ,Manual,23.08,63.1,160.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.0,325000
167,Honda City i VTEC,2016,Petrol,40521,1497,First ,Manual,17.8,117.3,145.0,5,White,5,FWD,Power,Discs,Drum,10.0,751000
